perfil;documento;cnpj_basico;uf;municipio_ibge;cultura_referencia;divida_ativa_total;divida_ativa_ajuizada;n_inscricoes;divida_ativa_corresponsavel;delta_divida_2_trimestres;flag_divida_previdenciaria;flag_divida_fgts;idade_empresa_meses;capital_social;porte;natureza_juridica;situacao_cadastral;flag_situacao_irregular;cnae_principal;flag_cnae_agro;n_filiais;n_socios;n_empresas_do_socio;n_empresas_do_socio_com_divida_ativa;n_empresas_do_socio_inaptas;n_autos_infracao;valor_multas_ambientais;flag_embargo_ativo;area_embargada_ha;volume_credito_rural_municipio;n_contratos_municipio;ticket_medio_municipio;credito_por_hectare_municipio;acionamentos_proagro_municipio;produtividade_municipal_cultura;desvio_produtividade_vs_media_5a;area_plantada_municipio_cultura;precipitacao_acumulada_ciclo;precipitacao_vs_normal_climatologica;dias_secos_consecutivos_max;anomalia_na_fase_critica;n_protestos_ativos;valor_total_protestado;dias_desde_protesto_mais_recente;n_cartorios_distintos
divida_ativa;02776188000190;02776188;AL;2700508;soja;4767.93;0.0;1;0.0;101.43;False;False;335;0.0;01;2135;02;False;0155501;True;0;0;0;0;0;0;0.0;False;0.0;;;;;;;;;;;;;;;;
divida_ativa;13085925000124;13085925;AM;1303569;soja;103550.98000000001;0.0;6;0.0;75574.82;False;False;188;20000.0;01;2062;02;False;0122900;True;0;1;0;0;0;0;0.0;False;0.0;;;;;;;;;;;;;;;;
divida_ativa;04292777000128;04292777;AM;1301506;soja;122749.32;122749.32;2;0.0;1031.43;False;False;721;0.0;01;2062;08;True;0230600;True;0;2;0;0;0;0;0.0;False;0.0;;;;;;;;;;;;;;;;
divida_ativa;02017691000161;02017691;AM;1303809;soja;1652.64;0.0;1;0.0;36.08;False;False;349;44000.0;05;2143;02;False;0133401;True;0;7;2;0;0;0;0.0;False;0.0;;;;;;;;;;;;;;;;
divida_ativa;04832762000105;04832762;AP;1600303;soja;13722707.7;13722707.7;1;0.0;166934.25;False;False;517;0.0;05;2054;02;False;0151201;True;0;1;0;0;0;0;0.0;False;0.0;;;;;;2745.0;0.0417;5500.0;;;;;;;;
divida_ativa;08426589000104;08426589;BA;2916500;soja;56576.5;0.0;12;0.0;1236.67;False;False;239;5000.0;01;2062;02;False;0153901;True;0;1;0;0;0;0;0.0;False;0.0;2026449.0;2;1013224.5;;;2917.0;-0.0239;60.0;;;;;;;;
divida_ativa;14811684000116;14811684;BA;2906303;soja;24149.0;0.0;10;0.0;24149.0;False;False;177;0.0;05;2143;02;False;0159801;True;0;4;0;0;0;0;0.0;False;0.0;;;;;;;;;;;;;;;;
divida_ativa;07111488000173;07111488;BA;2928901;soja;106206.23;106206.23;2;0.0;1370.42;False;False;262;0.0;03;2135;04;True;0161099;True;0;0;0;0;0;0;0.0;False;0.0;24574333.77;14;1755309.56;7985.94;;4116.0;0.0654;508448.0;664.5;-0.2253;10;-0.6491;;;;
divida_ativa;00330512000116;00330512;BA;2919504;soja;8686.83;0.0;2;0.0;149.0;True;False;381;0.0;01;2135;02;False;0133410;True;0;0;0;0;0;0;0.0;False;0.0;;;;;;;;;;;;;;;;
divida_ativa;15132574000190;15132574;BA;2927408;soja;61134.21;61134.21;1;0.0;367.09;False;False;720;0.0;05;2054;08;True;0135100;True;1;0;0;0;0;0;0.0;False;0.0;;;;;;;;;;;;;;;;
divida_ativa;14438535000153;14438535;BA;2906907;soja;28836.34;28836.34;2;0.0;181.88;False;False;587;0.0;05;2062;08;True;0311601;True;1;0;0;0;0;0;0.0;False;0.0;1400000.0;1;1400000.0;;;;;;;;;;;;;
divida_ativa;14448039000180;14448039;BA;2927408;soja;94683.93999999999;9141.92;8;0.0;3010.61;False;False;587;5000.0;01;2062;04;True;0161099;True;0;2;0;0;0;0;0.0;False;0.0;;;;;;;;;;;;;;;;
divida_ativa;15637069000106;15637069;BA;2927408;soja;1496241.2599999998;952041.1899999998;38;0.0;28184.57;True;False;539;1000000.0;05;2054;02;False;0161099;True;0;1;1;0;0;0;0.0;False;0.0;;;;;;;;;;;;;;;;
divida_ativa;02601382000134;02601382;BA;2905701;soja;1803.64;0.0;1;0.0;43.29;False;False;340;0.0;05;3999;04;True;0161099;True;0;1;0;0;0;0;0.0;False;0.0;;;;;;;;;;;;;;;;
divida_ativa;05253865000183;05253865;BA;2923001;soja;21673.25;0.0;5;0.0;437.75;False;False;289;0.0;01;2135;04;True;0161003;True;0;0;0;0;0;0;0.0;False;0.0;;;;;;;;;;;;;;;;
divida_ativa;05827657000140;05827657;BA;2931350;soja;103954.15;76577.39;5;0.0;1450.81;True;False;277;0.0;05;2143;04;True;0161099;True;0;5;0;0;0;0;0.0;False;0.0;;;;;;;;;;;;;;;;
divida_ativa;00368724000192;00368724;BA;2927705;soja;49123.17;44078.06;2;0.0;-23054.21;False;True;381;0.0;01;2062;08;True;0311601;True;0;0;0;0;0;0;0.0;False;0.0;;;;;;;;;;;;;;;;
divida_ativa;17677730000124;17677730;CE;2312700;soja;867.85;0.0;1;0.0;17.88;False;False;162;1500000.0;01;2062;02;False;0115600;True;0;2;2;0;1;0;0.0;False;0.0;;;;;;;;;;;;;;;;
divida_ativa;10928531000100;10928531;CE;2302800;soja;1982.04;0.0;1;0.0;40.7;False;False;207;210.0;05;2143;08;True;0161099;True;0;18;5;0;2;0;0.0;False;0.0;;;;;;;;;;;;;;;;
