coluna;papel;tipo_pandas;nivel
perfil;rotulo_descritivo;str;empresa
documento;chave;str;empresa
cnpj_basico;chave;str;empresa
uf;categorica;str;empresa
municipio_ibge;chave;str;empresa
cultura_referencia;categorica;str;empresa
divida_ativa_total;numerica;float;empresa
divida_ativa_ajuizada;numerica;float;empresa
n_inscricoes;numerica;Int64;empresa
delta_divida_2_trimestres;numerica;float;empresa
flag_divida_previdenciaria;numerica;boolean;empresa
flag_divida_fgts;numerica;boolean;empresa
idade_empresa_meses;numerica;Int64;empresa
capital_social;numerica;float;empresa
porte;categorica;str;empresa
natureza_juridica;categorica;str;empresa
situacao_cadastral;categorica;str;empresa
flag_situacao_irregular;numerica;boolean;empresa
cnae_principal;categorica;str;empresa
flag_cnae_agro;numerica;boolean;empresa
n_filiais;numerica;Int64;empresa
n_socios;numerica;Int64;empresa
n_empresas_do_socio;numerica;Int64;empresa
n_empresas_do_socio_com_divida_ativa;numerica;Int64;empresa
n_empresas_do_socio_inaptas;numerica;Int64;empresa
n_autos_infracao;numerica;Int64;empresa
valor_multas_ambientais;numerica;float;empresa
flag_embargo_ativo;numerica;boolean;empresa
area_embargada_ha;numerica;float;empresa
volume_credito_rural_municipio;numerica;float;municipio
n_contratos_municipio;numerica;Int64;municipio
ticket_medio_municipio;numerica;float;municipio
credito_por_hectare_municipio;numerica;float;municipio
acionamentos_proagro_municipio;numerica;Int64;municipio
produtividade_municipal_cultura;numerica;float;municipio
desvio_produtividade_vs_media_5a;numerica;float;municipio
area_plantada_municipio_cultura;numerica;float;municipio
precipitacao_acumulada_ciclo;numerica;float;municipio
precipitacao_vs_normal_climatologica;numerica;float;municipio
dias_secos_consecutivos_max;numerica;Int64;municipio
anomalia_na_fase_critica;numerica;float;municipio
n_protestos_ativos;numerica;Int64;empresa
valor_total_protestado;numerica;float;empresa
dias_desde_protesto_mais_recente;numerica;Int64;empresa
n_cartorios_distintos;numerica;Int64;empresa
alvo_sintetico;alvo_SINTETICO;int;empresa
