perfil;documento;cnpj_basico;uf;municipio_ibge;cultura_referencia;divida_ativa_total;divida_ativa_ajuizada;n_inscricoes;delta_divida_2_trimestres;flag_divida_previdenciaria;flag_divida_fgts;idade_empresa_meses;capital_social;porte;natureza_juridica;situacao_cadastral;flag_situacao_irregular;cnae_principal;flag_cnae_agro;n_filiais;n_socios;n_empresas_do_socio;n_empresas_do_socio_com_divida_ativa;n_empresas_do_socio_inaptas;n_autos_infracao;valor_multas_ambientais;flag_embargo_ativo;area_embargada_ha;volume_credito_rural_municipio;n_contratos_municipio;ticket_medio_municipio;credito_por_hectare_municipio;acionamentos_proagro_municipio;produtividade_municipal_cultura;desvio_produtividade_vs_media_5a;area_plantada_municipio_cultura;precipitacao_acumulada_ciclo;precipitacao_vs_normal_climatologica;dias_secos_consecutivos_max;anomalia_na_fase_critica;n_protestos_ativos;valor_total_protestado;dias_desde_protesto_mais_recente;n_cartorios_distintos;alvo_sintetico
limpo;98986321000101;98986321;PI;4630374;soja;33589.95;6104.27;5;110.28;True;True;394;78905.97;03;2240;02;False;0111301;True;0;1;0;0;0;0;0.0;False;0.0;13048266.74;1086;12014.98;3730.29;;4454.7;0.2245;24466.93;1518.2;0.2463;22;-0.0198;;;;;0
limpo;19209801000190;19209801;MT;5020745;soja;0.0;0.0;0;0.0;False;False;26;17839269.02;05;2135;02;False;0116401;True;0;2;0;0;0;0;0.0;False;0.0;16832610.2;2938;5729.28;2659.43;;2865.5;-0.0685;23248.53;1087.1;-0.1985;10;0.5319;;;;;0
limpo;44392446000184;44392446;SP;4469177;soja;0.0;0.0;0;0.0;False;False;173;436831.45;01;2240;02;False;0311601;True;0;7;2;1;0;0;0.0;False;0.0;;;;;;;;;;;;;;;;;0
passivo_ambiental_auto;42594692000193;42594692;TO;4589069;soja;0.0;0.0;0;0.0;False;False;48;147399.5;03;4014;02;False;0121101;True;0;2;1;1;0;14;794012.41;False;0.0;2443446.14;2744;890.47;4703.19;;2024.4;-0.0039;12496.35;1038.3;-0.1626;18;-0.1071;;;;;1
limpo;71705170000110;71705170;MT;4091416;soja;0.0;0.0;0;0.0;False;False;557;10277.86;03;2054;02;False;0121101;True;1;5;2;1;0;0;0.0;False;0.0;9930345.71;3827;2594.81;2854.45;;2593.6;0.1175;64737.72;;;;;;;;;0
limpo;70505620000168;70505620;TO;2599733;soja;0.0;0.0;0;0.0;False;False;512;367353.93;01;2240;02;False;0151201;True;0;5;2;2;0;0;0.0;False;0.0;1134944.18;1648;688.68;2399.35;;3673.1;0.0845;644740.4;;;;;;;;;0
limpo;64549859000137;64549859;TO;1926828;soja;0.0;0.0;0;0.0;False;False;464;68261.74;01;2062;02;False;0151201;True;0;4;2;1;1;0;0.0;False;0.0;1592038.63;3955;402.54;2086.07;;2103.1;-0.0625;2779.51;847.2;0.0075;25;0.3455;;;;;0
limpo;83871890000134;83871890;RS;3466531;soja;0.0;0.0;0;0.0;False;False;203;51387.71;05;2135;02;False;0116401;True;0;8;1;1;0;0;0.0;False;0.0;3897875.17;1357;2872.42;4389.67;;;;;;;;;;;;;0
limpo;58436637000105;58436637;TO;1926828;soja;0.0;0.0;0;0.0;False;False;305;3173566.22;05;2135;02;False;0133403;True;0;1;2;2;1;3;10850.89;False;0.0;1592038.63;3955;402.54;2086.07;;2103.1;-0.0625;2779.51;847.2;0.0075;25;0.3455;;;;;0
limpo;74119726000184;74119726;MA;2547930;soja;0.0;0.0;0;0.0;False;False;60;266198.38;01;2135;02;False;0311601;True;2;2;1;0;0;0;0.0;False;0.0;3056399.2;3421;893.42;2943.06;;3413.0;0.1153;12947.73;1079.8;-0.105;39;-0.2894;4;36118.83;812;3;0
limpo;69421007000183;69421007;RS;3466531;soja;0.0;0.0;0;0.0;False;False;107;13589.53;01;2135;02;False;0151201;True;0;3;1;0;0;0;0.0;False;0.0;3897875.17;1357;2872.42;4389.67;;;;;;;;;;;;;0
limpo;70465583000101;70465583;SP;1144522;soja;0.0;0.0;0;0.0;False;False;470;627700.66;03;4014;02;False;0116401;True;0;4;0;0;0;0;0.0;False;0.0;22685314.17;3452;6571.64;4478.12;;3859.7;-0.1003;15013.11;975.4;-0.3231;19;-0.3987;;;;;0
passivo_ambiental_auto;19584466000100;19584466;MG;2246509;soja;79381.34;45184.42;5;4074.07;False;True;418;1462525.14;03;2054;02;False;0111301;True;0;7;1;1;0;10;39225.0;False;0.0;18573077.57;406;45746.5;1183.29;;3809.0;-0.3511;358203.19;;;;;;;;;1
grupo_societario;87201917000132;87201917;BA;1287110;soja;0.0;0.0;0;0.0;False;False;185;11958.23;03;2135;02;False;0311601;True;0;8;24;2;7;14;153697.14;False;0.0;7170659.32;281;25518.36;5970.35;;3173.5;-0.0805;35165.31;;;;;;;;;1
limpo;24039158000133;24039158;MT;4872493;soja;0.0;0.0;0;0.0;False;False;416;457957.73;03;2062;02;False;0210101;True;0;2;2;1;0;0;0.0;False;0.0;12871579.85;766;16803.63;1283.72;;2678.2;-0.0379;315502.18;1164.2;-0.4814;30;-0.3935;;;;;0
limpo;17275149000186;17275149;MA;1849363;soja;0.0;0.0;0;0.0;False;False;214;19698.6;03;4014;02;False;0113000;True;1;8;1;1;0;0;0.0;False;0.0;1890436.06;790;2392.96;3254.5;;2951.6;0.2319;11567.52;1244.5;-0.2244;14;0.2749;;;;;0
limpo;42117961000120;42117961;PR;4168991;soja;0.0;0.0;0;0.0;False;False;122;71582.18;01;2054;02;False;0151201;True;0;5;0;0;0;0;0.0;False;0.0;;;;;;3272.2;-0.2374;11409.04;801.1;0.1095;21;-0.0934;;;;;0
